3374,673,4.0
5953,3082,3.0
1908,292,3.0
5787,2804,4.0
2173,2917,4.0
544,1204,5.0
4783,50,4.0
1724,207,3.0
3746,223,5.0
5795,786,1.0
649,356,4.0
6037,1407,3.0
3371,3260,3.0
3373,3753,3.0
317,2804,4.0
5636,745,4.0
1632,3362,4.0
300,2020,4.0
1367,3703,4.0
1163,3535,4.0
5074,1554,2.0
1896,3419,3.0
4170,3198,3.0
5278,1375,3.0
1465,2750,4.0
4979,2454,3.0
1605,590,4.0
3607,2248,5.0
2567,252,3.0
4020,1198,4.0
4412,2712,3.0
3808,1544,1.0
4160,1301,2.0
1128,541,3.0000000000000004
5476,3654,3.0
5464,1387,5.0
1706,1281,4.0
5797,165,3.0
1561,3095,3.0
4447,2010,3.0
4824,3686,4.0
1447,435,3.0
4607,955,4.0
5300,2384,5.0
439,1302,3.0
1605,1031,4.0
4457,3152,5.0
628,141,4.0
2819,260,4.0
5974,2114,3.0
1866,333,4.0
2100,2088,4.0
1624,507,2.0
2110,1617,1.0
4643,2692,2.0
5727,2858,2.0
5403,2087,1.0
3224,832,3.0
5001,339,4.0
1736,2150,3.0
2064,1952,4.0
4447,3634,3.0
134,112,4.0
3685,1732,4.0
2016,153,4.0
2199,2828,3.0
1820,185,3.0000000000000004
2750,2946,4.0
1015,1212,5.0
2072,2208,3.0
5305,912,4.0
1998,300,4.0
1579,3591,2.0
3808,427,1.0
385,3793,5.0
5992,2961,5.0
3099,1206,4.0
430,339,5.0
3806,3694,3.0
770,2379,2.0
5837,1027,3.0
367,3099,4.0
2109,3039,2.0
3080,1783,1.0
4840,3100,3.0
4726,2581,4.0
5482,1093,4.0
2330,1262,3.0
524,1050,5.0
2237,35,5.0
5746,2683,4.0
2419,468,3.0000000000000004
1521,25,1.0
1731,1259,5.0
4478,2134,4.0
549,919,2.0
5531,2993,3.0
4001,3388,3.0
1695,1373,1.0
2683,2108,5.0
3539,3422,5.0
1693,594,5.0
3374,673,4.0
5953,3082,3.0
1908,292,3.0
5787,2804,4.0
2173,2917,4.0
544,1204,5.0
4783,50,4.0
1724,207,3.0
3746,223,5.0
5795,786,1.0
649,356,4.0
6037,1407,3.0
3371,3260,3.0
3373,3753,3.0
317,2804,4.0
5636,745,4.0
1632,3362,4.0
300,2020,4.0
1367,3703,4.0
1163,3535,4.0
5074,1554,2.0
1896,3419,3.0
4170,3198,3.0
5278,1375,3.0
1465,2750,4.0
4979,2454,3.0
1605,590,4.0
3607,2248,5.0
2567,252,3.0
4020,1198,4.0
4412,2712,3.0
3808,1544,1.0
4160,1301,2.0
1128,541,3.0000000000000004
5476,3654,3.0
5464,1387,5.0
1706,1281,4.0
5797,165,3.0
1561,3095,3.0
4447,2010,3.0
4824,3686,4.0
1447,435,3.0
4607,955,4.0
5300,2384,5.0
439,1302,3.0
1605,1031,4.0
4457,3152,5.0
628,141,4.0
2819,260,4.0
5974,2114,3.0
1866,333,4.0
2100,2088,4.0
1624,507,2.0
2110,1617,1.0
4643,2692,2.0
5727,2858,2.0
5403,2087,1.0
3224,832,3.0
5001,339,4.0
1736,2150,3.0
2064,1952,4.0
4447,3634,3.0
134,112,4.0
3685,1732,4.0
2016,153,4.0
2199,2828,3.0
1820,185,3.0000000000000004
2750,2946,4.0
1015,1212,5.0
2072,2208,3.0
5305,912,4.0
1998,300,4.0
1579,3591,2.0
3808,427,1.0
385,3793,5.0
5992,2961,5.0
3099,1206,4.0
430,339,5.0
3806,3694,3.0
770,2379,2.0
5837,1027,3.0
367,3099,4.0
2109,3039,2.0
3080,1783,1.0
4840,3100,3.0
4726,2581,4.0
5482,1093,4.0
2330,1262,3.0
524,1050,5.0
2237,35,5.0
5746,2683,4.0
2419,468,3.0000000000000004
1521,25,1.0
1731,1259,5.0
4478,2134,4.0
549,919,2.0
5531,2993,3.0
4001,3388,3.0
1695,1373,1.0
2683,2108,5.0
3539,3422,5.0
1693,594,5.0
777,1167,2.0
3804,1982,4.0
212,2518,5.0
3858,2140,4.0
2941,1211,2.0
2752,2474,3.0000000000000004
3918,2707,5.0
3018,733,4.0
5081,1265,3.0
921,2571,4.0
2190,2394,4.0
3705,2801,3.0
4048,2565,4.0
2304,1089,3.0
1884,708,3.0
5361,318,4.0
5948,1198,5.0
4362,3253,5.0
4771,492,3.0
87,3633,1.0
1842,3566,4.0
3812,1967,4.0
2907,1703,5.0
3859,227,3.0
4884,3633,4.0
2611,3524,2.9999999999999996
1194,1834,4.0
2998,2792,1.0
4774,2916,3.0
3618,597,2.0
1884,1253,3.0
752,3720,1.0
199,62,3.0
6007,2746,3.0
5009,1269,5.0
5785,923,4.0
2158,593,4.0
5479,3361,3.0
4041,1885,4.0
977,3210,4.0
4907,3685,2.0
1511,1250,4.0
6009,1586,4.0
1514,2007,5.0
860,3908,4.0
406,551,2.0
1383,3846,2.0
157,3105,5.0
4227,2160,4.0
3374,673,4.0
3374,673,4.0
3374,673,4.0
3374,673,4.0
